frame_idx,cx_px,cy_px,radius_px
0,1786.012048192771,679.3855421686746,3.634537147509613
1,1602.8541666666665,836.2291666666666,3.1915382432114616
2,1602.7014925373135,836.0597014925373,3.2654833007009834
3,1602.6521739130435,836.1304347826087,3.3138634663094946
4,1602.7014925373135,836.0597014925373,3.2654833007009834
5,1602.7546296296296,836.1018518518517,3.385137501286538
6,1463.7416020671833,787.4134366925064,4.531113291328578
7,1450.2770903637045,809.9580052493438,11.894904136170874
8,1575.9671361502346,751.6948356807511,3.361547405514991
9,1573.175,794.1708333333333,3.5682482323055424
10,1556.4472573839662,817.548523206751,3.5458765494951643
11,1607.658536585366,759.2073170731708,3.6125759969217834
12,1606.7083333333333,753.125,3.385137501286538
13,1464.0160642570281,788.3373493975904,3.634537147509613
