frame_idx,cx_px,cy_px,radius_px
0,1100.1435158432053,219.51845564865647,66.38284465378385
1,1078.385076647807,260.3956308332124,66.2436418905976
2,1057.3623081825758,300.96048438495853,65.79040836115236
3,1036.4607146800133,340.3055483997595,65.76258258794337
4,1015.82935754779,378.5716323669879,65.3961197306256
5,996.240328001415,415.9439264144745,64.79834649626781
6,976.7621642909774,453.3035038239703,64.62126118271873
7,,,
8,973.8561999057048,844.1353135313531,10.607664435019144
9,953.2158548233047,818.9021012416428,10.539931227391522
10,952.9204808136847,819.088303282478,10.712175967993456
11,954.0656565656565,817.8530762167125,10.749255261864239
12,963.4631043256996,861.8002544529262,6.457444935117649
13,963.6635658914728,860.2728682170542,5.849642105698219
14,963.4908424908424,858.992673992674,5.382025607773058
15,973.7392739273927,901.3861386138614,4.009320298040732
16,808.5387205387204,934.8249158249157,3.9694255713009206
17,832.018018018018,918.2207207207207,3.431831258788849
18,969.108,934.7573333333332,6.3078313050504
19,840.2777606347807,626.1165968701786,60.086852838534035
20,835.862457772123,609.0886237002588,60.229715406048285
21,830.5531723924481,588.9297585886723,58.55081104646994
22,825.4257893048618,571.3482411523011,58.93418637000457
23,821.0708693283523,553.8064596466651,58.380674082378825
24,816.6137636031955,535.8180159778574,58.08139266388
25,812.6418464610535,517.0155379791266,58.315209585875
26,808.3724878079084,498.88464883670355,58.44470368338142
27,804.7425173318769,480.63359577663493,59.13638105733404
28,799.9708831702306,462.41177358946476,59.26945169245548
29,795.8763391770148,444.84798819089355,59.043457499412035
30,791.513816165454,427.3638694530683,58.60650840022969
31,788.077908251135,410.19035540942536,58.21003984216513
32,783.6379318383141,391.9143549815842,58.42700038833127
33,779.4705078604765,374.34490911323996,58.784114558367136
34,774.7385258787795,356.84313994841034,58.955786842208305
35,770.1862539827036,339.3579729934759,59.13234393907399
36,765.722840008438,322.105189404213,59.33654566183398
37,761.5187070192977,305.1815111030325,59.180771181864884
38,757.665934535249,288.30703761325157,58.97603009978105
39,753.5063513927149,271.00572390572387,58.87609583304145
40,748.8764986344489,253.7504667561604,58.636372974581356
41,744.482272454121,236.21553490808793,58.67707289825364
42,739.5707967301122,219.50309602244994,58.978728675824
43,734.2234131186895,204.79072230459647,61.29316790380629
44,729.5006379720993,187.75011341726207,61.17230600505954
45,724.3224178854161,170.33547946957745,61.09550622045963
46,719.427004972587,154.00202586878603,61.19441686959036
47,714.7430364572314,137.63142232564698,61.33210480634874
48,710.1584145770361,121.1161536605787,61.1423785789
49,705.374451494094,104.54000316514882,60.72446686876817
50,700.9490774485844,88.50705312352613,60.92594470118847
51,698.1002994857885,73.47413403401706,61.28148200881211
