frame_idx,theta_rad,omega_rad_s
1,-1.251131939745635,0.0
2,-1.251131939745635,0.0
3,-1.251131939745635,0.0
4,-1.2711851253339121,0.0
5,-1.274407050199058,0.0
6,-1.274407050199058,0.0
7,-1.274407050199058,0.0
