frame_idx,cx_px,cy_px,radius_px
0,1563.592875318066,889.737913486005,4.566103102760415
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,1535.6125356125356,962.3789173789173,4.315220543813695
10,1424.4422657952068,864.437908496732,4.934643481859656
11,1424.6570881226053,864.0134099616857,5.262410103554244
12,1506.876027830487,998.1853257432005,9.158310707189882
13,1507.462613556953,998.2166317260657,8.713030922407775
14,1481.078705031924,728.6686749360109,97.11192590465014
15,1541.9444444444443,899.5,3.385137501286538
16,1439.4699453551912,869.7131147540983,7.632215220473915
17,1529.0886524822693,956.1099290780141,3.8678889139475245
18,1458.5614035087717,971.3552631578947,3.477898169151024
19,1485.2492063492064,940.1222222222221,5.781222885281108
20,1413.0843137254901,839.2372549019607,5.201570947860099
21,1530.2268041237114,877.0756013745704,3.9291257907979795
22,1445.4897119341563,956.8395061728395,3.5904805236128943
23,1421.0762800417972,994.2466039707418,7.125336963703163
24,1415.9194139194137,1018.7637362637363,5.382025607773058
