frame_idx,cx_px,cy_px,radius_px
0,1785.610310510954,308.5625206597039,86.85130124437042
1,1657.9683622781592,382.57720775614837,83.51054095947266
2,1657.9454802711152,382.5061579071483,83.51054095947266
3,1593.7045078121812,421.00176233019215,80.63668643997832
4,1688.1174863387976,675.0136612021857,4.406461512053774
5,1687.9276485788114,675.1188630490956,4.531113291328578
6,1680.5120359037128,665.9408404732761,11.40305171899516
7,1288.8512121731046,602.2004876417872,80.65839453378307
8,1288.6561216506943,602.0704087619793,80.68502830284493
9,1236.2748167721993,628.0706403416928,79.90207373521847
10,1157.5562575988204,643.2585752989268,74.44203089328437
11,1158.218061334566,643.2267876406225,74.21613214473194
12,1125.5909811851939,642.2777017783858,73.15561575441815
13,1463.6392480610582,702.1404916885697,94.98597037950633
14,1463.4995847396228,702.4269406796134,94.90383229624318
15,1463.95890587704,702.0304907014797,95.10988119282904
16,1464.8846205998007,703.0782500014737,94.86189771114036
17,1464.8713432730356,703.042108300358,94.91808583481871
18,1465.8750908679226,702.7621345917795,94.3580723968374
19,1464.9902084575542,704.911051874715,95.26454306291537
20,1464.9843104920294,704.9551477725927,95.24783496817247
21,1495.7496012759168,1017.4545454545455,5.767441643068972
22,1463.061261261261,1064.1567567567567,7.673807981960539
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,1461.4216792308723,704.5373923588639,95.39059472187462
31,,,
32,,,
33,,,
34,,,
35,,,
