target,group,r2,rmse,mae,n
spin_out_rad_s,Oblique,0.18864231476277216,6.6818961633862335,6.6818961633862335,2
spin_out_rad_s,Pocket,-4.0702107394527305,2.9747973719456335,2.9747973719456335,2
spin_out_rad_s,Shallow,,2.6645352591003757e-15,2.6645352591003757e-15,1
