frame_idx,cx_px,cy_px,radius_px
0,1009.0471037730159,268.66822345376505,98.37709557856982
1,1003.21875,554.3229166666666,3.1915382432114616
2,865.7929292929292,585.9848484848485,3.2410224072142872
3,875.3625,662.9583333333333,3.5682482323055424
4,874.0952380952381,684.4251700680271,3.949327084834294
5,938.5697503671071,797.8604992657855,8.500373177909337
6,739.3059195863422,693.1352093123957,91.27499466495932
7,712.3127872217017,737.950556968426,84.46466408526882
8,447.7802524127691,615.0096510764662,8.453435363700429
9,683.5628394162798,755.1735763478049,83.6333751501314
10,666.046129000409,730.3122117378242,86.7330245072863
11,651.8166456228956,690.3468714927048,86.96575702957381
12,638.96482663398,655.6016244698986,86.7807213453674
13,628.6108745518267,616.7696136796292,88.80655885143106
14,620.3552468518889,577.6087347591446,89.23296365630542
15,610.9451673106747,537.2399258733539,89.8497375254558
16,601.6631392956865,495.5376758042986,90.70213979484257
17,589.7970958881978,451.27874491746775,88.77339782918241
18,580.9607870856557,409.32257586773295,88.77339782918241
19,570.2689858207161,365.72205532858015,89.14552494917801
20,559.9908503232223,323.57979114868226,89.45118648707259
21,550.1240888638542,281.2107666619727,88.94623694207094
22,540.8030525546368,239.73260640687764,88.94444758538243
23,529.9775695570638,197.7634158875074,89.15891398290412
