frame_idx,cx_px,cy_px,radius_px
0,1337.4023007894205,273.61476396104626,97.13568678019384
1,1296.016619183286,342.1815052231719,96.87646093991505
2,1254.1466427982837,410.7892194470491,96.61901048476496
3,1211.982262434187,481.61753764192036,96.64700955084045
4,1171.2493456598822,548.5132696113423,95.61057716784892
5,1129.97074117454,617.2143402760096,96.82962796833749
6,1227.7444444444443,606.4333333333333,3.0901936161855166
7,1220.4564102564102,568.9538461538461,3.2163754912903433
8,1036.109375,595.3802083333333,3.1915382432114616
9,1035.8351648351647,596.0439560439561,3.805666803775979
10,1035.6666666666665,596.3607305936073,3.4085643379153576
11,1032.0,634.5,3.5682482323055424
12,842.0094589481648,635.4241392357169,11.84126280697966
13,853.2923076923076,647.451282051282,3.2163754912903433
14,819.3433208489388,630.1098626716604,6.5187705746970455
15,814.5,603.5,3.6996385101659595
16,751.3508771929824,734.7848568790397,7.579903327627221
17,647.8222222222222,807.7111111111111,3.7846987830302403
18,889.1935483870968,879.1612903225806,4.9667913363905045
19,875.4078947368421,861.4078947368421,3.477898169151024
20,969.7592592592592,806.2074074074073,3.7846987830302403
21,956.5906264945002,809.7924438067909,10.532378427261861
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
