frame_idx,theta_rad,omega_rad_s
1,-1.1524098270930299,-1.8902325356453709
2,-1.1632538193132915,-1.8902325356453709
3,-1.171129788211814,-2.6025581328628
4,-1.1920948932583377,-2.6025581328628
5,-1.2079402509629371,-2.0552249547320223
6,-1.2154328707507172,-3.802885849103852
7,-1.2239963080621006,-2.0552249547320223
8,-1.2575088565379131,-1.79822874906721
9,-1.2575088565379131,0.0
10,-1.2575088565379131,0.0
30,-0.11324987237342388,0.0
35,1.2287209136636938,0.0
36,1.139316861160456,0.0
37,1.139316861160456,0.0
39,0.9118044125805814,0.0
44,0.8014455397512761,0.0
46,1.0948823452010004,0.0
47,1.0948823452010004,0.0
48,0.9966705101703468,-23.570840407356854
49,0.8648271913097731,-28.65155534869396
52,0.4937213633531656,-31.642396526537677
53,0.3558841909354741,-31.642396526537677
54,0.18113640328372738,-28.65155534869396
55,0.11208264851531984,-33.08092138024596
56,0.0480876195717985,-26.69017564105829
57,-0.09233369293505067,-16.57290114441781
58,-0.20354275810612688,-26.69017564105829
59,-0.20354275810612688,-29.780402741577525
60,-0.33553515748336427,-26.69017564105829
61,-0.45962016890660395,0.0
62,-0.45962016890660395,0.0
66,-1.2819321888299164,0.0
67,-1.2819321888299164,0.0
69,1.3229262940708677,0.0
70,1.3229262940708677,0.0
71,1.2073882812243968,-3.8567827430226664
72,1.0748718095395118,-25.238427204988323
73,1.058801881443584,-25.238427204988323
75,0.7493825665287522,-25.238427204988323
76,0.6462999638209568,-25.238427204988323
77,0.5075565468670208,-28.171776888157694
78,0.39017414316636373,-28.171776888157694
79,0.26579169759268195,-28.171776888157694
80,0.16851270223389078,-23.34695888610988
81,0.13774335901092177,-23.34695888610988
83,-0.21589864537738102,-22.239031965672957
84,-0.36014488308298986,-21.859947769276964
85,-0.45280751627329385,-21.859947769276964
86,-0.5438906319786145,-21.859947769276964
87,-0.5438906319786145,-1.999095667078592
88,-0.5438906319786145,0.0
89,-0.5522201972581087,0.0
90,-0.5522201972581087,0.0
91,-0.4625015311077796,0.0
